split_rate,randomized_rate,splitting_rate
0.01,0.015,0.004
0.02,0.021,0.008
0.03,0.028,0.01
0.04,0.034,0.015
0.05,0.058,0.028
0.06,0.059,0.023
0.07,0.086,0.035
0.08,0.089,0.037
0.09,0.113,0.045
0.1,0.147,0.054
0.11,0.125,0.057
0.12,0.178,0.042
0.13,0.152,0.086
0.14,0.188,0.079
0.15,0.207,0.102
0.16,0.222,0.111
0.17,0.24,0.122
0.18,0.286,0.137
0.19,0.277,0.144
0.2,0.272,0.154
0.21,0.344,0.152
0.22,0.312,0.177
0.23,0.361,0.19
0.24,0.376,0.192
0.25,0.409,0.228
0.26,0.403,0.221
0.27,0.45,0.243
0.28,0.45,0.264
0.29,0.457,0.284
0.3,0.482,0.279
0.31,0.504,0.307
0.32,0.504,0.301
0.33,0.522,0.337
0.34,0.528,0.353
0.35,0.53,0.364
0.36,0.56,0.358
0.37,0.56,0.393
0.38,0.61,0.38
0.39,0.587,0.405
0.4,0.608,0.407
0.41,0.625,0.43
0.42,0.607,0.456
0.43,0.63,0.453
0.44,0.625,0.484
0.45,0.671,0.493
0.46,0.657,0.493
0.47,0.668,0.514
0.48,0.659,0.491
0.49,0.679,0.524
0.5,0.681,0.55
0.51,0.683,0.566
0.52,0.716,0.593
0.53,0.707,0.623
0.54,0.715,0.591
0.55,0.738,0.628
0.56,0.742,0.624
0.57,0.756,0.627
0.58,0.78,0.654
0.59,0.77,0.65
0.6,0.778,0.655
0.61,0.783,0.681
0.62,0.771,0.704
0.63,0.758,0.701
0.64,0.789,0.699
0.65,0.778,0.702
0.66,0.804,0.733
0.67,0.824,0.72
0.68,0.826,0.723
0.69,0.803,0.754
0.7,0.826,0.774
0.71,0.821,0.745
0.72,0.826,0.769
0.73,0.846,0.78
0.74,0.82,0.797
0.75,0.845,0.78
0.76,0.842,0.783
0.77,0.859,0.802
0.78,0.853,0.802
0.79,0.859,0.825
0.8,0.863,0.82
0.81,0.861,0.817
0.82,0.855,0.833
0.83,0.863,0.84
0.84,0.868,0.865
0.85,0.85,0.829
0.86,0.872,0.853
0.87,0.88,0.849
0.88,0.864,0.86
0.89,0.892,0.866
0.9,0.896,0.865
0.91,0.896,0.883
0.92,0.894,0.879
0.93,0.905,0.873
0.94,0.909,0.875
0.95,0.902,0.881
0.96,0.92,0.89
0.97,0.883,0.897
0.98,0.897,0.908
0.99,0.91,0.901
1.0,0.914,0.898
